random,netprofit,netprofit_prc,annual_netprofit_prc,MDD,MDD_prc,exposure,ANP-MDD,sharpe,recoveryfactor,profitfactor,winners_prc,avg_profit,losers_prc,avg_lost
0.0,-18825.0,0.215625,-0.2795375605065985,4850.0,0.0635820895522388,0.4318181818181818,-9.345215538611096e-06,-0.5293147864353441,-0.7474683544303797,0.9184667857722917,0.4256926952141058,378.88240574506284,0.4819479429051218,-358.68441971383146
0.0,-9187.5,0.6171875,-0.09798846823951357,5975.0,0.11766014234875445,0.4318181818181818,-4.972755919018396e-06,-0.246243865677471,-0.4842443729903537,0.9587930273609885,0.436607892527288,398.0461811722913,0.49706129303106633,-353.5282258064516
0.0,-5100.0,0.7875,-0.04977003641222211,6350.0,0.12983151635282458,0.4318181818181818,-2.3462598190794156e-06,-0.14575688091278483,-0.24042427813789038,0.9769425870417339,0.43912678421494544,402.124773960217,0.5020990764063812,-352.1088957055215
0.0,-2312.5,0.9036458333333334,-0.02141891773465865,6612.5,0.13907849829351535,0.4318181818181818,-1.3035214455188323e-06,-0.051487350335549936,-0.13992042440318303,0.989649770616538,0.44164567590260284,403.7303664921466,0.5046179680940386,-350.11609907120743
0.0,1312.5,1.0546875,0.011443345040512698,6787.5,0.14666666666666667,0.4318181818181818,5.506553314819664e-07,0.03566751126825473,0.06319485078993564,1.0058492563088408,0.4441645675902603,405.56027164685906,0.5062972292191436,-349.34105431309905
0.0,3112.5,1.1296875,0.026401329934921947,6962.5,0.15182783018867924,0.4318181818181818,1.4436817462705098e-06,0.08414007599314959,0.17019822282980177,1.0138950892857144,0.44584382871536526,407.34346224677716,0.5071368597816961,-348.72488408037094
0.0,4487.5,1.1869791666666667,0.03730986265609393,7125.0,0.15554219282421328,0.4318181818181818,2.382212322825072e-06,0.12404787638869945,0.29333333333333333,1.0206494587843464,0.4466834592779177,409.00562851782365,0.5088161209068011,-348.43247588424435
0.0,6175.0,1.2572916666666667,0.05014556939546777,7287.5,0.1587850826605152,0.4318181818181818,2.701392711214971e-06,0.16941969313030836,0.34138655462184875,1.0274841437632136,0.44836272040302266,410.5751811594203,0.5096557514693535,-348.14453125
0.0,7162.5,1.2984375,0.057397075464654446,7412.5,0.1656739466137216,0.4318181818181818,3.5375701364964218e-06,0.1963052966775574,0.4381491973559962,1.0322651448639157,0.44920235096557515,411.67127071823205,0.5104953820319059,-347.5378787878788
0.0,7787.5,1.3244791666666667,0.06189377078582736,7525.0,0.16898672709614762,0.4318181818181818,3.921710706629452e-06,0.2119917210568405,0.48897411313518696,1.0346649059095412,0.45004198152812763,413.0465779467681,0.5113350125944585,-347.2705696202532
0.0,8737.5,1.3640625,0.068597404548562,7662.5,0.1723942061914229,0.4318181818181818,4.600531961650908e-06,0.23442253371754562,0.5981481481481481,1.0393049932523617,0.4508816120906801,414.79910714285717,0.5121746431570109,-346.9642857142857
0.0,9700.0,1.4041666666666666,0.07523502306693697,7762.5,0.1748148148148148,0.4318181818181818,5.136612915260155e-06,0.25253596748768176,0.6657963446475196,1.043816566414657,0.4517212426532326,415.49107142857144,0.5130142737195634,-346.57853810264385
0.0,10700.0,1.4458333333333333,0.08197519378481166,7887.5,0.1772679874869656,0.4318181818181818,5.477991971435282e-06,0.28601655936116116,0.7051509769094139,1.0494083694083693,0.45256087321578503,416.2985865724382,0.5138539042821159,-346.31514657980455
0.0,12212.5,1.5088541666666666,0.09188515806280528,7987.5,0.18048318332543817,0.4318181818181818,5.809689883896374e-06,0.3427312051040421,0.7871878393051032,1.0565477921926814,0.4534005037783375,417.560553633218,0.5138539042821159,-345.92846270928464
0.0,13125.0,1.546875,0.09770748360826031,8087.5,0.18354661791590493,0.4318181818181818,6.418224423697002e-06,0.3644778306267837,0.8704720087815587,1.0610749185667752,0.45424013434089,418.16471571906357,0.5146935348446684,-345.39473684210526
0.0,14450.0,1.6020833333333333,0.10596467166731727,8200.0,0.18645990922844174,0.4318181818181818,6.8455276647024354e-06,0.38467823502527515,0.9263848396501457,1.0651604825859322,0.4550797649034425,418.94567219152856,0.5155331654072208,-345.08101851851853
0.0,15437.5,1.6432291666666667,0.11197427954092776,8312.5,0.1900180396873121,0.4318181818181818,7.323971152310314e-06,0.4097753970729043,1.0199401794616152,1.0703864128576315,0.45591939546599497,420.1663669064748,0.5155331654072208,-344.7006472491909
0.0,16562.5,1.6901041666666667,0.11867816777861351,8425.0,0.19471153846153846,0.4318181818181818,7.626941667281529e-06,0.43390311558127476,1.0642105263157895,1.0750027676298017,0.45591939546599497,420.92672413793105,0.5163727959697733,-344.38316993464053
0.0,16800.0,1.7,0.12007470225071204,8550.0,0.1978165938864629,0.4318181818181818,8.1227226872568e-06,0.4474402114398576,1.1790437436419126,1.0770648748290421,0.45675902602854745,421.690518783542,0.5172124265323258,-344.1393442622951
0.0,17537.5,1.7307291666666667,0.12437095204805004,8650.0,0.19921259842519684,0.4318181818181818,8.602633251745717e-06,0.4651734988726699,1.2597042513863217,1.0800536912751677,0.45759865659109994,422.27191413237927,0.5172124265323258,-343.94470404984423
0.0,17912.5,1.7463541666666667,0.12653252345233912,8775.0,0.2009685230024213,0.4318181818181818,9.141197610211285e-06,0.4809557442749081,1.2955899880810489,1.082210242587601,0.45759865659109994,422.78761061946904,0.5180520570948782,-343.64820846905536
0.0,18512.5,1.7713541666666666,0.12995961718228566,8825.0,0.20522388059701493,0.4318181818181818,9.310851490232409e-06,0.4964619552355297,1.3460514640638863,1.0840700393543603,0.45843828715365237,423.3005366726297,0.5188916876574308,-343.4076682316119
